id,genres,original_title,popularity,tagline,original_language,production_countries
44,"[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}]",To Die For,10.448481,All she wanted was a little attention.,en,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]"
45,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",How To Make An American Quilt,4.485958,There's beauty in the patterns of life.,en,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]"
46,"[{'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",Se7en,18.45743,Seven deadly sins. Seven ways to die.,en,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]"
47,"[{'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",Pocahontas,13.280069000000001,An American legend comes to life.,en,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]"
48,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",When Night Is Falling,3.302524,,en,"[{'iso_3166_1': 'CA', 'name': 'Canada'}]"
49,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",The Usual Suspects,16.302466,Five Criminals. One Line Up. No Coincidence.,en,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]"
50,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]",Guardian Angel,0.595949,She's no angel of mercy.,en,[]
51,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",Mighty Aphrodite,15.899134,,en,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]"
52,"[{'id': 18, 'name': 'Drama'}, {'id': 10769, 'name': 'Foreign'}]",Lamerica,1.361286,,it,"[{'iso_3166_1': 'IT', 'name': 'Italy'}, {'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'CH', 'name': 'Switzerland'}]"
53,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",The Big Green,5.9827639999999995,The biggest kick of the year!,en,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]"
54,"[{'id': 18, 'name': 'Drama'}]",Georgia,4.093443,The toughest act to follow was their dreams.,en,"[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]"
55,[],Kids of the Round Table,0.307075,,en,[]
56,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",Home for the Holidays,8.416802,We'll do it every year..until we get it right,en,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]"
57,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",Il postino,10.168436999999999,,it,"[{'iso_3166_1': 'BE', 'name': 'Belgium'}, {'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'IT', 'name': 'Italy'}]"
58,"[{'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}]",Le confessionnal,0.12078900000000001,,fr,"[{'iso_3166_1': 'CA', 'name': 'Canada'}]"
59,"[{'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",The Indian in the Cupboard,10.673296,,en,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]"
60,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",Eye for an Eye,4.733526,What do you do when justice fails?,en,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]"
61,"[{'id': 10402, 'name': 'Music'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",Mr. Holland's Opus,7.137117,"Of All the Lives He Changed, the One That Changed the Most Was His Own.",en,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]"
62,"[{'id': 35, 'name': 'Comedy'}]",Don't Be a Menace to South Central While Drinking Your Juice in the Hood,11.700115,"Finally, the movie that proves that Justice isn't always Poetic, Jungle Fever isn't always pretty, and Higher Learning can be a waste of time.",en,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]"
63,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",Two If by Sea,2.174487,"A new comedy about love, laughter, and larceny",en,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]"
64,"[{'id': 35, 'name': 'Comedy'}]",Bio-Dome,6.387469,Bud and Doyle are here to save the world. But who's gonna save the world from Bud and Doyle?,en,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]"
65,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",Lawnmower Man 2: Beyond Cyberspace,2.49535,"God made him simple. Science made him a god. Now, he wants revenge.",en,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]"
66,"[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",Two Bits,4.046208,You're never too old to believe in a dream. Or too young to make one come true!,en,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]"
67,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",Gazon maudit,2.518051,,fr,"[{'iso_3166_1': 'FR', 'name': 'France'}]"
68,"[{'id': 35, 'name': 'Comedy'}]",Friday,14.56965,A lot can go down between thursday and saturday...,en,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]"
69,"[{'id': 27, 'name': 'Horror'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",From Dusk Till Dawn,15.339153,One night is all that stands between them and freedom. But it's going to be a hell of a night.,en,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]"
70,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 10749, 'name': 'Romance'}]",Fair Game,5.912223,He's a cop on the edge. She's a woman with a dangerous secret. And now they're both...,en,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]"
71,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",Kicking and Screaming,3.3672760000000004,Anxiety loves company.,en,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]"
72,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",Les misérables,1.4794459999999998,"In a time of chaos, in a world of change, he was moved by a book he could not read to become a hero he never imagined.",fr,"[{'iso_3166_1': 'FR', 'name': 'France'}]"
73,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",Bed of Roses,10.412194,He gave her flowers. She gave him a chance.,en,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]"
74,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",Big Bully,2.936443,A comedy for the kid in all of us.,en,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]"
75,"[{'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]",Screamers,12.758848,The last scream you hear will be your own.,en,"[{'iso_3166_1': 'CA', 'name': 'Canada'}, {'iso_3166_1': 'JP', 'name': 'Japan'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]"
76,"[{'id': 99, 'name': 'Documentary'}]",Nico Icon,0.133893,,en,"[{'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]"
77,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",The Crossing Guard,5.756462,"...some lives cross, others collide.",en,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]"
78,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",The Juror,6.010579,There is no defense.,en,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]"
79,"[{'id': 10751, 'name': 'Family'}, {'id': 18, 'name': 'Drama'}]",بادکنک سفید,1.196256,,fa,"[{'iso_3166_1': 'IR', 'name': 'Iran'}]"
80,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",Things to Do in Denver When You're Dead,4.486179,Protect. Love. Honor. Avenge.,en,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]"
81,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",Antonia,2.030174,A motion picture that celebrates everything you love about life.,nl,"[{'iso_3166_1': 'NL', 'name': 'Netherlands'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'BE', 'name': 'Belgium'}]"
82,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",Once Upon a Time... When We Were Colored,0.252287,,en,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]"
83,[],Last Summer in the Hamptons,0.531159,,en,[]
84,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",Angels and Insects,2.1516599999999997,An elegant seduction. An erotic deception. A stunning revelation.,en,"[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]"
85,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}]",White Squall,9.568603999999999,,en,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]"
86,"[{'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",Dunston Checks In,4.814825,He's about to turn a Five Star Hotel into a three ring circus.,en,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]"
87,"[{'id': 35, 'name': 'Comedy'}]",Black Sheep,8.963037,There's one in every family.,en,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]"
88,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",Nick of Time,6.848591000000001,,en,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]"
89,"[{'id': 18, 'name': 'Drama'}]",The Journey of August King,0.41142399999999996,,en,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]"
90,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}, {'id': 10749, 'name': 'Romance'}]",Mary Reilly,12.866139,The untold story of Jekyll and Hyde,en,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]"
91,"[{'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}, {'id': 10749, 'name': 'Romance'}]",Vampire in Brooklyn,9.071127,A comic tale of horror and seduction.,en,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]"
92,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",Beautiful Girls,4.670562,"Good times never seemed so good,",en,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]"
93,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",Broken Arrow,14.957626000000001,Prepare to Go Ballistic.,en,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]"
94,"[{'id': 35, 'name': 'Comedy'}]",A Midwinter's Tale,0.5133909999999999,The drama. The passion. The intrigue... And the rehearsals haven't even started.,en,"[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]"
95,"[{'id': 18, 'name': 'Drama'}]",La Haine,12.108196000000001,Three Young Friends... One Last Chance.,fr,"[{'iso_3166_1': 'FR', 'name': 'France'}]"
96,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",Shopping,2.6576470000000003,No one leaves without paying...,en,"[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]"
97,"[{'id': 99, 'name': 'Documentary'}]",Heidi Fleiss: Hollywood Madam,0.638211,   ,en,"[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'CA', 'name': 'Canada'}, {'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'DE', 'name': 'Germany'}]"
98,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",City Hall,4.8072230000000005,It started with a shootout on a rainswept street and ended in a scandal that shattered New York.,en,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]"
99,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",Bottle Rocket,6.904831,"They're not really criminals, but everyone's got to have a dream.",en,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]"
100,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",Mr. Wrong,3.329264,,en,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]"
101,"[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",Unforgettable,2.464425,He loved her. He lost her. He won't let her memory die... until it tells him who killed her.,en,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]"
102,"[{'id': 35, 'name': 'Comedy'}]",Happy Gilmore,9.592265,He doesn't play golf... he destroys it.,en,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]"
103,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",The Bridges of Madison County,5.951077,The path of Francesca Johnson's future seems destined due to an unexpected fork in the road...,en,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]"
104,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",Keiner liebt mich,1.015068,,de,"[{'iso_3166_1': 'DE', 'name': 'Germany'}]"
105,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 10402, 'name': 'Music'}, {'id': 10751, 'name': 'Family'}, {'id': 12, 'name': 'Adventure'}]",Muppet Treasure Island,6.902423,Set sail for Muppet mayhem!,en,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]"
106,"[{'id': 99, 'name': 'Documentary'}]",Catwalk,0.976707,"The moment when fashion, art and entertainment come together with stunning force and beauty.",en,[]
107,"[{'id': 80, 'name': 'Crime'}]",Headless Body in Topless Bar,0.0013460000000000002,,en,[]
108,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10752, 'name': 'War'}]",Braveheart,20.755149,Every man dies. Not every man truly lives.,en,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]"
109,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",Taxi Driver,14.092713,"On every street in every city, there's a nobody who dreams of being a somebody.",en,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]"
110,"[{'id': 80, 'name': 'Crime'}, {'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}]",紅番區,12.314278,No Fear. No Stuntman. No Equal.,cn,"[{'iso_3166_1': 'HK', 'name': 'Hong Kong'}]"
111,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",Before and After,2.938293,A murder. A suspect. A shadow of a doubt.,en,"[{'iso_3166_1': 'US', 'name': 'United States of America'}]"
112,"[{'id': 18, 'name': 'Drama'}]",Margaret's Museum,0.372697,She found a way to preserve her memories forever.,en,"[{'iso_3166_1': 'CA', 'name': 'Canada'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}]"
113,"[{'id': 35, 'name': 'Comedy'}]",Le Bonheur est dans le pré,1.254885,,en,"[{'iso_3166_1': 'FR', 'name': 'France'}]"
